UserID	Country	Language	Gender	RegDate	AgeRDATE	Fstcad	Fstpd	Pcsumstk	Pcsumwin	Pcsumbet	Pcfstdate	Pclstdate	Pcsumday	Pcintday	Pcnet	Pcab	Pcdayspc	TOPsmstk	TOPpcnet
1324364	276	2	1	2/1/2005	36	8/26/2006	2/3/2005	2180.5	2078	1430	8/26/2006	2/14/2007	5	173	102.5	1.52482517482517	2.89017341040462	0	0
1324369	792	7	1	2/1/2005	19	3/1/2005	2/1/2005	9521	9206	1738	3/1/2005	1/6/2007	56	677	315	5.47813578826237	8.27178729689808	0	0
1324377	208	11	1	2/1/2005	24	4/4/2005	2/1/2005	59	28	7	4/4/2005	11/4/2006	5	580	31	8.42857142857143	.862068965517241	0	0
1324383	578	10	1	2/1/2005	52	6/5/2005	2/3/2005	5529.53	4892.5	168	6/5/2005	6/12/2005	4	8	637.03	32.913869047619	50	0	0
1324386	756	1	1	2/1/2005	27	2/10/2005	2/9/2005	68104.22	67187.5116	7132	2/10/2005	1/22/2007	31	712	916.708400000003	9.54910544026921	4.35393258426966	0	0
1324399	300	8	1	2/1/2005	28	3/24/2006	3/17/2006	871.01	960.51	314	3/24/2006	2/9/2007	23	323	-89.5	2.77391719745223	7.12074303405573	0	0
1324400	276	1	1	2/1/2005	45	2/18/2005	2/1/2005	211.26	174.32	1339	2/18/2005	3/10/2005	4	21	36.94	.157774458551158	19.047619047619	0	0
1324408	250	6	1	2/1/2005	37	2/9/2005	2/8/2005	5643.71	5187.13	1785	2/9/2005	5/3/2005	22	84	456.58	3.16174229691877	26.1904761904762	0	0
1324466	40	2	1	2/1/2005	19	6/16/2005	6/16/2005	553.65	464.86	690	6/16/2005	1/19/2007	18	583	88.79	.802391304347826	3.08747855917667	0	0
1324503	300	8	1	2/1/2005	31	2/2/2005	2/2/2005	11296.5	10872	708	2/2/2005	6/26/2005	28	145	424.5	15.9555084745763	19.3103448275862	0	0
1324514	616	9	1	2/1/2005	20	12/14/2005	12/14/2005	74.48	57.0454	254	12/14/2005	12/28/2006	5	380	17.4346	.293228346456693	1.31578947368421	0	0
1324533	40	2	1	2/1/2005	30	2/3/2005	2/1/2005	145	117	139	2/3/2005	2/16/2007	6	744	28	1.0431654676259	.806451612903226	0	0
1324537	250	6	1	2/1/2005	38	2/1/2005	2/1/2005	744	685.5	474	2/1/2005	2/8/2005	5	8	58.5	1.56962025316456	62.5	0	0
1324557	276	2	1	2/1/2005	25	10/14/2005	2/17/2005	630	599	592	10/14/2005	11/23/2006	20	406	31	1.06418918918919	4.92610837438424	0	0
1324582	705	1	1	2/1/2005	20	11/25/2005	11/25/2005	654.82	633.87	1403	11/25/2005	1/22/2007	15	424	20.9499999999999	.466728439059159	3.5377358490566	0	0
1324591	792	7	1	2/1/2005	18	2/2/2005	2/2/2005	367	344	229	2/2/2005	9/22/2005	10	233	23	1.60262008733624	4.29184549356223	0	0
1324615	276	2	1	2/1/2005	18	2/6/2005	2/5/2005	1201	1036	478	2/6/2005	3/24/2005	4	47	165	2.51255230125523	8.51063829787234	0	0
1324675	208	11	1	2/1/2005	20	2/1/2005	2/1/2005	2989	2775	75	2/1/2005	2/22/2005	5	22	214	39.8533333333333	22.7272727272727	0	0
1324746	40	2	1	2/1/2005	20	12/9/2005	2/1/2005	436	405.5	50	12/9/2005	10/1/2006	11	297	30.5	8.72	3.7037037037037	0	0
1324749	724	4	1	2/1/2005	26	4/18/2005	2/1/2005	2298.5	2317.5	309	4/18/2005	5/27/2006	13	405	-19	7.43851132686084	3.20987654320988	0	0
1324752	380	3	1	2/1/2005	29	2/1/2005	2/1/2005	40335.9	37343.9	4774	2/1/2005	2/16/2005	8	16	2992	8.44907834101382	50	0	0
1324786	40	2	1	2/1/2005	19	8/6/2005	8/6/2005	11129.75	11006.45	996	8/6/2005	8/29/2006	9	389	123.299999999999	11.1744477911647	2.31362467866324	0	0
1324840	191	1	1	2/1/2005	42	2/1/2005	2/1/2005	8714.75	8470.25	668	2/1/2005	2/22/2005	10	22	244.5	13.0460329341317	45.4545454545455	0	0
1324850	208	11	1	2/1/2005	32	2/1/2005	2/1/2005	944.4	867.55	15	2/1/2005	2/6/2005	5	6	76.85	62.96	83.3333333333333	0	0
1324868	792	7	1	2/1/2005	26	11/12/2005	2/1/2005	187482.1392	178054.6787	7199	11/12/2005	2/4/2006	26	85	9427.46050000002	26.04280305598	30.5882352941176	1	1
1324883	276	2	1	2/1/2005	38	2/12/2005	2/1/2005	237.25	141.25	253	2/12/2005	5/22/2006	6	465	96	.937747035573123	1.29032258064516	0	0
1324888	40	2	1	2/1/2005	54	2/2/2005	2/1/2005	748.5	649.5	452	2/2/2005	10/5/2005	15	246	99	1.65597345132743	6.09756097560976	0	0
1324929	276	2	1	2/1/2005	39	10/19/2006	10/7/2005	87.5	70.5	78	10/19/2006	2/22/2007	4	127	17	1.12179487179487	3.1496062992126	0	0
1324935	792	7	1	2/1/2005	33	2/18/2005	2/1/2005	70038.5	67951.5	3118	2/18/2005	11/20/2005	72	276	2087	22.4626363053239	26.0869565217391	0	0
1324942	276	2	1	2/1/2005	23	8/11/2006	2/4/2005	1363.5	1303.5	1481	8/11/2006	11/4/2006	11	86	60	.920661715057394	12.7906976744186	0	0
1324944	380	3	1	2/1/2005	21	12/27/2005	11/9/2005	65469.25	63322.5	11876	12/27/2005	12/1/2006	37	340	2146.75	5.5127357696194	10.8823529411765	0	0
1324991	792	7	0	2/1/2005	30	12/5/2005	2/2/2005	2382.5797	2170.9854	3508	12/5/2005	1/12/2007	25	404	211.5943	.679184635119726	6.18811881188119	0	0
1325027	40	2	0	2/1/2005	35	6/13/2005	5/7/2005	689.5	643.05	264	6/13/2005	4/5/2006	5	297	46.45	2.61174242424242	1.68350168350168	0	0
1325080	250	6	0	2/1/2005	33	2/14/2005	2/4/2005	6783	6624	808	2/14/2005	4/6/2006	41	417	159	8.39480198019802	9.83213429256595	0	0
1325103	300	8	1	2/1/2005	25	2/1/2005	2/1/2005	197	155	191	2/1/2005	2/13/2005	5	13	42	1.03141361256544	38.4615384615385	0	0
1325155	40	2	1	2/1/2005	22	7/6/2006	2/5/2005	103	127	17	7/6/2006	2/11/2007	4	221	-24	6.05882352941176	1.80995475113122	0	0
1325158	724	4	1	2/1/2005	26	8/22/2005	2/1/2005	99655.5	97352	4904	8/22/2005	2/26/2007	36	554	2303.5	20.3212683523654	6.49819494584837	0	0
1325159	792	7	1	2/1/2005	21	2/11/2005	2/7/2005	123	107	123	2/11/2005	5/9/2005	6	88	16	1	6.81818181818182	0	0
1325161	40	2	0	2/1/2005	35	2/14/2005	2/1/2005	6725.5	6697.5	178	2/14/2005	8/31/2006	71	564	28	37.7837078651685	12.5886524822695	0	0
1325165	724	4	1	2/1/2005	23	2/2/2005	2/1/2005	28441.64	24924.39	9015	2/2/2005	2/7/2007	46	736	3517.25	3.15492401552967	6.25	0	0
1325187	616	9	1	2/1/2005	22	6/13/2005	2/4/2005	227.25	216.7138	139	6/13/2005	1/15/2007	9	582	10.5362	1.63489208633094	1.54639175257732	0	0
1325188	250	6	1	2/1/2005	24	12/23/2005	2/1/2005	1612.75	1537.75	60	12/23/2005	9/30/2006	11	282	75	26.8791666666667	3.90070921985816	0	0
1325189	724	4	1	2/1/2005	69	2/19/2005	2/1/2005	12448.7485	11691.95	129	2/4/2005	6/26/2005	20	143	756.798500000001	96.5019263565891	13.986013986014	0	0
1325215	208	11	0	2/1/2005	19	9/24/2005	9/24/2005	1419.8	1366.32	1216	9/24/2005	7/7/2006	19	287	53.4799999999998	1.16759868421053	6.62020905923345	0	0
1325237	40	2	1	2/1/2005	63	7/12/2005	7/11/2005	1755.5	1662	650	7/12/2005	12/31/2006	16	538	93.5	2.70076923076923	2.97397769516729	0	0
1325301	792	7	1	2/1/2005	18	2/25/2005	2/2/2005	25.25	17.75	31	2/25/2005	3/13/2005	4	17	7.5	.814516129032258	23.5294117647059	0	0
1325313	276	2	1	2/1/2005	42	2/9/2005	2/9/2005	31489	29891.5	2360	2/9/2005	1/25/2006	13	351	1597.5	13.3427966101695	3.7037037037037	0	0
1325318	208	11	1	2/1/2005	30	2/1/2005	2/1/2005	21933.75	21177.25	1360	2/1/2005	12/12/2006	28	680	756.5	16.1277573529412	4.11764705882353	0	0
1325337	40	2	0	2/1/2005	40	2/1/2005	2/1/2005	7439	7180	857	2/1/2005	2/24/2007	75	754	259	8.68028004667445	9.94694960212202	0	0
1325353	208	11	1	2/1/2005	21	2/2/2005	2/1/2005	478.76	445.5	25	2/2/2005	8/1/2005	6	181	33.26	19.1504	3.31491712707182	0	0
1325367	792	7	1	2/1/2005	39	2/1/2005	2/1/2005	13022.2	12257.28	74424	2/1/2005	10/22/2006	50	629	764.919999999996	.174973126948296	7.94912559618442	0	0
